階層,人数,業種,年,総額
"1,000万円以下",652857,建設業,2014,69010
"1,500万円以下",1418188,建設業,2014,121500
"2,000万円以下",347159,建設業,2014,20192
"2,500万円以下",101429,建設業,2014,4517
"2,500万円超",193168,建設業,2014,5222
100万円以下,247427,製造業,2023,307181
200万円以下,1033346,製造業,2023,700406
300万円以下,2968263,製造業,2023,1170228
400万円以下,4999563,製造業,2023,1421067
500万円以下,6902316,製造業,2023,1540344
600万円以下,6883030,製造業,2023,1254548
700万円以下,5941780,製造業,2023,917451
800万円以下,5042236,製造業,2023,674507
900万円以下,3915708,製造業,2023,461910
"1,000万円以下",2834721,製造業,2023,299095
"1,500万円以下",6196309,製造業,2023,529878
"2,000万円以下",1575833,製造業,2023,91696
"2,500万円以下",462385,製造業,2023,20845
"2,500万円超",1195734,製造業,2023,26274
100万円以下,242714,製造業,2022,302612
200万円以下,1089597,製造業,2022,741932
300万円以下,2985060,製造業,2022,1175656
400万円以下,5180372,製造業,2022,1470515
500万円以下,6996675,製造業,2022,1558625
600万円以下,7068149,製造業,2022,1290823
700万円以下,5767994,製造業,2022,890895
800万円以下,5015785,製造業,2022,671256
900万円以下,4083988,製造業,2022,482946
"1,000万円以下",3080793,製造業,2022,324983
"1,500万円以下",6618474,製造業,2022,566835
"2,000万円以下",1356712,製造業,2022,78730
"2,500万円以下",438390,製造業,2022,19852
"2,500万円超",1239723,製造業,2022,28972
100万円以下,215793,製造業,2021,268237
200万円以下,1204565,製造業,2021,804608
300万円以下,3040799,製造業,2021,1198121
400万円以下,5441129,製造業,2021,1550312
500万円以下,7082701,製造業,2021,1579896
600万円以下,6842495,製造業,2021,1248366
700万円以下,6126505,製造業,2021,944843
800万円以下,5183241,製造業,2021,694134
900万円以下,4090539,製造業,2021,482889
"1,000万円以下",3071339,製造業,2021,324793
"1,500万円以下",6256160,製造業,2021,536967
"2,000万円以下",1306667,製造業,2021,76367
"2,500万円以下",374997,製造業,2021,16840
"2,500万円超",1007354,製造業,2021,23706
100万円以下,262937,製造業,2020,329902
200万円以下,1316161,製造業,2020,875348
300万円以下,3292898,製造業,2020,1301486
400万円以下,5570081,製造業,2020,1586769
500万円以下,6903731,製造業,2020,1538473
600万円以下,6625938,製造業,2020,1207928
700万円以下,5653868,製造業,2020,872406
800万円以下,4556539,製造業,2020,609369
900万円以下,3587043,製造業,2020,424072
"1,000万円以下",2747287,製造業,2020,290063
"1,500万円以下",5675308,製造業,2020,479660
"2,000万円以下",1111091,製造業,2020,64641
"2,500万円以下",379595,製造業,2020,17038
"2,500万円超",993804,製造業,2020,23155
100万円以下,299659,製造業,2019,373043
200万円以下,1403243,製造業,2019,940429
300万円以下,3081340,製造業,2019,1223267
400万円以下,5306645,製造業,2019,1511511
500万円以下,6929015,製造業,2019,1544367
600万円以下,6999935,製造業,2019,1277165
700万円以下,6014804,製造業,2019,927036
800万円以下,4992682,製造業,2019,667067
900万円以下,4171282,製造業,2019,492206
"1,000万円以下",3017434,製造業,2019,318697
"1,500万円以下",6366095,製造業,2019,544076
"2,000万円以下",1491730,製造業,2019,87432
"2,500万円以下",450903,製造業,2019,20069
"2,500万円超",1118164,製造業,2019,23912
100万円以下,255904,製造業,2018,314976
200万円以下,1275722,製造業,2018,844110
300万円以下,3001477,製造業,2018,1194043
400万円以下,5168697,製造業,2018,1465004
500万円以下,6676023,製造業,2018,1487489
600万円以下,6534853,製造業,2018,1190681
700万円以下,5734235,製造業,2018,886804
800万円以下,4708952,製造業,2018,630766
900万円以下,3689857,製造業,2018,435495
"1,000万円以下",2709228,製造業,2018,286088
"1,500万円以下",6457902,製造業,2018,553131
"2,000万円以下",1278670,製造業,2018,74568
"2,500万円以下",441695,製造業,2018,19879
"2,500万円超",1137887,製造業,2018,26077
100万円以下,283735,製造業,2017,343318
200万円以下,1319028,製造業,2017,876748
300万円以下,3126349,製造業,2017,1238694
400万円以下,5470334,製造業,2017,1557727
500万円以下,7062566,製造業,2017,1573033
600万円以下,6920007,製造業,2017,1261898
700万円以下,5917333,製造業,2017,914559
800万円以下,4789221,製造業,2017,640937
900万円以下,3796135,製造業,2017,448644
"1,000万円以下",2898144,製造業,2017,306012
"1,500万円以下",5746320,製造業,2017,491975
"2,000万円以下",1053961,製造業,2017,61455
"2,500万円以下",426554,製造業,2017,19096
"2,500万円超",1112151,製造業,2017,25818
100万円以下,296090,製造業,2016,359813
200万円以下,1463006,製造業,2016,971601
300万円以下,3096106,製造業,2016,1232353
400万円以下,4969577,製造業,2016,1413628
500万円以下,6323228,製造業,2016,1408787
600万円以下,6221500,製造業,2016,1135402
700万円以下,5392047,製造業,2016,832964
800万円以下,4470885,製造業,2016,598000
900万円以下,3690242,製造業,2016,435551
"1,000万円以下",2812441,製造業,2016,296617
"1,500万円以下",5411257,製造業,2016,464234
"2,000万円以下",1097403,製造業,2016,64389
"2,500万円以下",347440,製造業,2016,15594
"2,500万円超",975499,製造業,2016,23091
100万円以下,296159,製造業,2015,354350
200万円以下,1477715,製造業,2015,993159
300万円以下,3216655,製造業,2015,1278947
400万円以下,5426507,製造業,2015,1541848
500万円以下,6659127,製造業,2015,1482811
600万円以下,6340075,製造業,2015,1157919
700万円以下,5269026,製造業,2015,814244
800万円以下,4468724,製造業,2015,597911
900万円以下,3653990,製造業,2015,431850
"1,000万円以下",2743026,製造業,2015,289465
"1,500万円以下",5641411,製造業,2015,483211
"2,000万円以下",987774,製造業,2015,58142
